target,model,feature,window_statistic,false_alarm_window_count,true_negative_window_count,false_alarm_median,true_negative_median,true_negative_iqr,robust_shift_iqr,absolute_robust_shift_iqr
ProtectiveStop,1d_cnn,Temperature_J2,mean,46,2096,39.984375,36.675,6.881249999999994,0.480926430517712,0.480926430517712
ProtectiveStop,1d_cnn,Temperature_J3,mean,46,2096,42.984375,39.7375,6.589062499999997,0.4927673701683668,0.4927673701683668
ProtectiveStop,1d_cnn,Temperature_J4,mean,46,2096,45.125,41.2625,7.662500000000001,0.5040783034257744,0.5040783034257744
ProtectiveStop,1d_cnn,Temperature_J5,mean,46,2096,44.459374999999994,40.38125,7.907812499999999,0.5157083580320087,0.5157083580320087
ProtectiveStop,1d_cnn,Speed_J0,mean,46,2096,0.009266109418274483,-0.0014240614549584682,0.0691562929468546,0.15457987144348756,0.15457987144348756
ProtectiveStop,1d_cnn,Speed_J1,mean,46,2096,0.0024386904551647604,0.00025769289350137116,0.016249721856001997,0.13421753190549632,0.13421753190549632
ProtectiveStop,1d_cnn,Speed_J2,mean,46,2096,-0.010384979361424485,0.0024981015093544557,0.1440110897258421,-0.08945894996909487,0.08945894996909487
ProtectiveStop,1d_cnn,Speed_J3,mean,46,2096,0.019517238908156286,-0.00040844999875844223,0.1478635314528219,0.1347572908014328,0.1347572908014328
ProtectiveStop,1d_cnn,Speed_J4,mean,46,2096,-0.00014421252682115133,-0.0027597378939390182,0.019837641136973096,0.13184659149031033,0.13184659149031033
ProtectiveStop,1d_cnn,Speed_J5,mean,46,2096,-0.038547920517639514,-0.001569183401079499,0.09676688458380386,-0.38214247855148215,0.38214247855148215
ProtectiveStop,1d_cnn,Tool_current,mean,46,2096,0.10936660468578338,0.09766307771205902,0.030990873277187345,0.3776443106022258,0.3776443106022258
ProtectiveStop,1d_cnn,Power_J0,mean,46,2096,0.003834177671259908,0.003906933379170141,0.016946871995310177,-0.004293164421750934,0.004293164421750934
ProtectiveStop,1d_cnn,Power_J1,mean,46,2096,-0.0003860982018626005,0.0015220217319438234,0.03975344601803954,-0.04799885607251624,0.04799885607251624
ProtectiveStop,1d_cnn,Power_J2,mean,46,2096,0.1326338813864273,0.07986403194299782,0.26986217159137593,0.195543707116288,0.195543707116288
ProtectiveStop,1d_cnn,Power_J3,mean,46,2096,0.0755442076354825,0.09376123807487602,0.1439839232727536,-0.12652128116334474,0.12652128116334474
ProtectiveStop,1d_cnn,Power_J4,mean,46,2096,-0.00012777250440905165,-0.0011979913313551968,0.006060107850172641,0.1766006238512169,0.1766006238512169
ProtectiveStop,1d_cnn,Power_J5,mean,46,2096,0.01738846884861687,0.015496035810895138,0.012801787135407493,0.14782569165578405,0.14782569165578405
ProtectiveStop,1d_cnn,Abs_Current_Sum,mean,46,2096,5.247688794136048,4.845910060405732,0.8746303737163537,0.45936974727179364,0.45936974727179364
ProtectiveStop,1d_cnn,Current_J0,range,46,2096,1.2686864733695984,2.086002230644226,2.7678835839033127,-0.29528545276533497,0.29528545276533497
ProtectiveStop,1d_cnn,Current_J1,range,46,2096,2.5938841104507446,1.8475357294082642,1.649898886680603,0.45236007313396226,0.45236007313396226
ProtectiveStop,1d_cnn,Current_J2,range,46,2096,1.2265525162220001,1.4472829103469849,1.0074255466461182,-0.21910343137498522,0.21910343137498522
ProtectiveStop,1d_cnn,Current_J3,range,46,2096,1.865299053490162,1.3487928211688995,1.1344400607049465,0.4552961855034482,0.4552961855034482
ProtectiveStop,1d_cnn,Current_J4,range,46,2096,1.3007609993219376,1.5043345391750336,1.745427519083023,-0.11663247979500478,0.11663247979500478
ProtectiveStop,1d_cnn,Current_J5,range,46,2096,0.40783634781837463,0.4321044087409973,0.082184549421072,-0.29528738787975134,0.29528738787975134
ProtectiveStop,1d_cnn,Temperature_J0,range,46,2096,0.0625,0.0625,0.0,,
ProtectiveStop,1d_cnn,Temperature_J1,range,46,2096,0.0625,0.0625,0.0,,
ProtectiveStop,1d_cnn,Temperature_J2,range,46,2096,0.0625,0.0625,0.0,,
ProtectiveStop,1d_cnn,Temperature_J3,range,46,2096,0.0625,0.0625,0.0,,
ProtectiveStop,1d_cnn,Temperature_J4,range,46,2096,0.0625,0.0625,0.0625,0.0,0.0
ProtectiveStop,1d_cnn,Temperature_J5,range,46,2096,0.0625,0.0625,0.0,,
ProtectiveStop,1d_cnn,Speed_J0,range,46,2096,0.4676479920744896,0.5127792097628117,0.27896761521697044,-0.1617794153390196,0.1617794153390196
ProtectiveStop,1d_cnn,Speed_J1,range,46,2096,0.10990678163943812,0.17795353662222624,0.10602747835218906,-0.6417841491689423,0.6417841491689423
ProtectiveStop,1d_cnn,Speed_J2,range,46,2096,0.9383915801881813,2.7369793504476547,3.676790209952742,-0.4891733461949658,0.4891733461949658
ProtectiveStop,1d_cnn,Speed_J3,range,46,2096,1.080975890159607,1.5451438426971436,0.5396029502153397,-0.860202770115139,0.860202770115139
ProtectiveStop,1d_cnn,Speed_J4,range,46,2096,0.042268067598342896,0.14736065920442343,0.11521263653412461,-0.9121620229127675,0.9121620229127675
ProtectiveStop,1d_cnn,Speed_J5,range,46,2096,0.984492152929306,1.2782500684261322,0.486841082572937,-0.6033959047669653,0.6033959047669653
ProtectiveStop,1d_cnn,Tool_current,range,46,2096,0.1717768907546997,0.10880351066589355,0.21529531478881836,0.2924976799916723,0.2924976799916723
ProtectiveStop,1d_cnn,Power_J0,range,46,2096,0.1491944119334221,0.1618150994181633,0.13038683428158038,-0.09679418596425056,0.09679418596425056
ProtectiveStop,1d_cnn,Power_J1,range,46,2096,0.35812271013855934,0.3655327409505844,0.2509949319064617,-0.029522631217058067,0.029522631217058067
ProtectiveStop,1d_cnn,Power_J2,range,46,2096,1.6719783690350596,3.8221789598464966,4.038515651598573,-0.5324234883082153,0.5324234883082153
ProtectiveStop,1d_cnn,Power_J3,range,46,2096,0.9246297404170036,1.0926492512226105,0.7189887464046478,-0.23368865179851542,0.23368865179851542
ProtectiveStop,1d_cnn,Power_J4,range,46,2096,0.0211119467530807,0.03930998966097832,0.034885075143392896,-0.5216569788970129,0.5216569788970129
ProtectiveStop,1d_cnn,Power_J5,range,46,2096,0.12476613372564316,0.20262540131807327,0.12235940620303154,-0.6363161607963173,0.6363161607963173
ProtectiveStop,1d_cnn,Abs_Current_Sum,range,46,2096,5.671061038970947,5.416208267211914,3.625670909881592,0.07029120350234883,0.07029120350234883
ProtectiveStop,lstm,Current_J0,mean,50,2092,-0.016186635196208957,-0.05658507458865643,0.2313587544951588,0.17461383503987013,0.17461383503987013
ProtectiveStop,lstm,Current_J1,mean,50,2092,-2.405933141708374,-2.1325766876339913,0.33791374489665027,-0.8089533444636524,0.8089533444636524
ProtectiveStop,lstm,Current_J2,mean,50,2092,-1.3398066192865372,-1.1805934816598893,0.17277663871645932,-0.9214969038026591,0.9214969038026591
ProtectiveStop,lstm,Current_J3,mean,50,2092,-0.7284775242209435,-0.564985379576683,0.14485847069881852,-1.128633650870055,1.128633650870055
ProtectiveStop,lstm,Current_J4,mean,50,2092,0.022663894764264114,-0.013883241720031947,0.15550245891790837,0.23502610015697398,0.23502610015697398
ProtectiveStop,lstm,Current_J5,mean,50,2092,0.009170148335397244,-0.006377663044258952,0.040201663330662996,0.38674547497634065,0.38674547497634065
