target,variant,feature_columns,feature_count,summary_feature_count,test_block,train_blocks,train_windows,test_windows,train_positive_count,decision_threshold,baseline_12_match,elapsed_seconds
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,2,8,3614,421,528,0.5,True,2.531021499999042
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,3,8,3609,426,526,0.5,True,3.165538799999922
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,4,8,3696,339,520,0.5,True,3.0129740000011225
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,5,8,3565,470,494,0.5,True,2.680931499999133
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,7,8,3560,475,494,0.5,True,3.2751433000012184
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,8,8,3846,189,546,0.5,True,3.4395352999999886
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,9,8,3474,561,441,0.5,True,3.573287100000016
ProtectiveStop,all_19,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,19,133,10,8,3310,725,419,0.5,True,2.842262500002107
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,1,8,3606,429,536,0.5,,2.996280100000149
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,2,8,3614,421,528,0.5,,2.6117165999967256
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,3,8,3609,426,526,0.5,,2.5591356999975687
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,4,8,3696,339,520,0.5,,2.9327052000007825
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,5,8,3565,470,494,0.5,,2.4092944000003627
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,7,8,3560,475,494,0.5,,2.6189153999985137
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,8,8,3846,189,546,0.5,,2.5920964000033564
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,9,8,3474,561,441,0.5,,2.5919302999973297
ProtectiveStop,current_family_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Tool_current,7,49,10,8,3310,725,419,0.5,,2.519579800002248
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,1,8,3606,429,536,0.5,,1.9771242999995593
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,2,8,3614,421,528,0.5,,2.1692026000018814
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,3,8,3609,426,526,0.5,,2.448421999997663
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,4,8,3696,339,520,0.5,,2.6653672000029474
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,5,8,3565,470,494,0.5,,1.990914599999087
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,7,8,3560,475,494,0.5,,2.0485420000004524
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,8,8,3846,189,546,0.5,,1.951270100002148
ProtectiveStop,joint_current_only,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5,6,42,9,8,3474,561,441,0.5,,2.172432799998205
