target,window_size,model,test_block,train_blocks,train_cycle_runs,test_cycle_runs,train_windows,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc,false_positive_rate,feature_set
ProtectiveStop,10,rf_smote,4,8,185,17,3696,339,43,0.12684365781710916,0.9144542772861357,0.8365993517825978,0.9207758310663375,0.6129032258064516,0.8837209302325582,0.7238095238095238,272,24,5,38,0.9455923947203017,0.640366342217236,0.08108108108108109,no_temperature
ProtectiveStop,10,rf_smote,5,8,177,25,3565,470,69,0.14680851063829786,0.9382978723404255,0.8879802753236079,0.9410134251953014,0.7325581395348837,0.9130434782608695,0.8129032258064516,378,23,6,63,0.9810618381582276,0.8946336067942309,0.057356608478802994,no_temperature
ProtectiveStop,10,rf_smote,7,8,178,24,3560,475,69,0.14526315789473684,0.96,0.9147853345796864,0.9588238959861768,0.9166666666666666,0.7971014492753623,0.8527131782945736,401,5,14,55,0.9816877275647891,0.9346411687425538,0.012315270935960592,no_temperature
ProtectiveStop,10,rf_smote,8,8,190,12,3846,189,17,0.08994708994708994,0.9894179894179894,0.9692982456140351,0.9896809926049691,0.8947368421052632,1.0,0.9444444444444444,170,2,0,17,1.0,1.0,0.011627906976744186,no_temperature
ProtectiveStop,10,rf_smote,9,8,176,26,3474,561,122,0.21746880570409982,0.9144385026737968,0.8572942722686225,0.9083216554754965,0.9404761904761905,0.6475409836065574,0.7669902912621359,434,5,43,79,0.9520146383360096,0.8949562267462073,0.011389521640091117,no_temperature
ProtectiveStop,10,rf_smote,10,8,175,27,3310,725,144,0.1986206896551724,0.9310344827586207,0.8916798144960796,0.9310344827586207,0.8263888888888888,0.8263888888888888,0.8263888888888888,556,25,25,119,0.9692460317460319,0.9137356306487038,0.043029259896729774,no_temperature
ProtectiveStop,20,rf_smote,1,8,172,24,1851,189,27,0.14285714285714285,0.8835978835978836,0.6622807017543859,0.8575605680868839,0.7777777777777778,0.25925925925925924,0.3888888888888889,160,2,20,7,0.9037494284407865,0.6679932275748289,0.012345679012345678,all_sensors
ProtectiveStop,20,rf_smote,2,8,173,23,1849,191,35,0.18324607329842932,0.9109947643979057,0.8617415371513732,0.9140190853691842,0.7142857142857143,0.8571428571428571,0.7792207792207793,144,12,5,30,0.9751831501831502,0.9291758665526998,0.07692307692307693,all_sensors
ProtectiveStop,20,rf_smote,3,8,173,23,1853,187,37,0.19786096256684493,0.8609625668449198,0.7347228284591881,0.8453049248745965,0.7619047619047619,0.43243243243243246,0.5517241379310345,145,5,21,16,0.8333333333333334,0.5505956121729493,0.03333333333333333,all_sensors
ProtectiveStop,20,rf_smote,4,8,180,16,1868,172,53,0.3081395348837209,0.75,0.711262931875854,0.7518446222916259,0.5892857142857143,0.6226415094339622,0.6055045871559633,96,23,20,33,0.7915015062628825,0.5281056246970043,0.19327731092436976,all_sensors
