target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
GripLost,5,3,rf_smote,51,3998,61,0.015257628814407204,168,42,944,21,0.022245762711864406,0.9819915254237288,0.6554374664519592,0.9759508083371998,1.0,0.19047619047619047,0.32,923,0,17,4,0.9628282515606459,0.4309183653873989
GripLost,5,3,rf_smote,52,3923,76,0.01937292888095845,168,42,1019,6,0.005888125613346418,0.9901864573110893,0.6403867871259176,0.9908825760577264,0.25,0.3333333333333333,0.2857142857142857,1007,6,4,2,0.9712076340901612,0.27523161368107113
GripLost,5,3,rf_smote,53,3933,61,0.015509788965166539,168,42,1009,21,0.02081268582755203,0.9801783944499505,0.6103645350633302,0.9741590437376555,0.6,0.14285714285714285,0.23076923076923078,986,2,18,3,0.8708309234625023,0.3759406026434642
GripLost,5,3,rf_smote,54,3878,66,0.01701908200103146,168,42,1064,16,0.015037593984962405,0.9906015037593985,0.7892902408111534,0.9890529555828735,0.875,0.4375,0.5833333333333334,1047,1,9,7,0.931267891221374,0.5061593037499904
GripLost,5,3,rf_smote,55,3924,60,0.01529051987767584,168,42,1018,22,0.021611001964636542,0.9803536345776032,0.610409491006506,0.9736409384240954,0.75,0.13636363636363635,0.23076923076923078,995,1,19,3,0.9149552756480467,0.4693761637988612
GripLost,5,3,rf_smote,56,4018,60,0.014932802389248382,168,42,924,22,0.023809523809523808,0.9761904761904762,0.4939759036144578,0.9644291451520367,0.0,0.0,0.0,902,0,22,0,0.9475156218504335,0.4818329492378293
GripLost,5,3,rf_smote,57,4042,70,0.017318159327065808,168,42,900,12,0.013333333333333334,0.9877777777777778,0.6733858995084293,0.9852854299319279,0.6,0.25,0.35294117647058826,886,2,9,3,0.8308933933933934,0.30056396239602123
GripLost,5,3,rf_smote,58,4073,61,0.01497667566904002,168,42,869,21,0.024165707710011506,0.9827387802071347,0.7369907790399709,0.9789355373319285,0.875,0.3333333333333333,0.4827586206896552,847,1,14,7,0.9055199910152741,0.6456406502611174
GripLost,5,3,rf_smote,59,3764,67,0.017800212539851222,168,42,1178,15,0.012733446519524618,0.9881154499151104,0.6470034246575342,0.9851697502151313,0.6,0.2,0.3,1161,2,12,3,0.9759529951275437,0.552145127683433
GripLost,5,3,rf_smote,60,3893,67,0.01721037760082199,168,42,1049,15,0.014299332697807437,0.9914204003813155,0.8311604699822952,0.9909499700572478,0.75,0.6,0.6666666666666666,1031,3,6,9,0.9582527401676338,0.6060090160810652
