target,model_variant,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
ProtectiveStop,1d_cnn_19_raw,44,3,3,2,0.6666666666666666,21,6,0.2857142857142857,0.7142607174103237,0.41509433962264153,0.5945945945945946,0.4888888888888889,0.5535251321974424
ProtectiveStop,1d_cnn_19_raw,42,4,3,3,1.0,14,2,0.14285714285714285,0.7671146953405018,0.4805194805194805,0.8604651162790697,0.6166666666666667,0.7815748813629317
ProtectiveStop,1d_cnn_19_raw,43,4,3,3,1.0,14,2,0.14285714285714285,0.766600747088552,0.475,0.8837209302325582,0.6178861788617886,0.7910226169145863
ProtectiveStop,1d_cnn_19_raw,44,4,3,3,1.0,14,3,0.21428571428571427,0.7532607429835798,0.4567901234567901,0.8604651162790697,0.5967741935483871,0.7870138422744826
ProtectiveStop,1d_cnn_19_raw,42,5,5,5,1.0,20,6,0.3,0.8122706136814102,0.5769230769230769,0.8695652173913043,0.6936416184971098,0.7337940465368904
ProtectiveStop,1d_cnn_19_raw,43,5,5,5,1.0,20,13,0.65,0.7163704191353961,0.4251968503937008,0.782608695652174,0.5510204081632653,0.6823566648169492
ProtectiveStop,1d_cnn_19_raw,44,5,5,5,1.0,20,11,0.55,0.7406914893617021,0.46218487394957986,0.7971014492753623,0.5851063829787234,0.7185645468681527
ProtectiveStop,1d_cnn_19_raw,42,7,8,8,1.0,16,0,0.0,0.8826224148418491,0.864406779661017,0.7391304347826086,0.796875,0.8566747572318791
ProtectiveStop,1d_cnn_19_raw,43,7,8,8,1.0,16,2,0.125,0.8789054754553437,0.85,0.7391304347826086,0.7906976744186046,0.8465765938366769
ProtectiveStop,1d_cnn_19_raw,44,7,8,7,0.875,16,0,0.0,0.8664242424242424,0.8571428571428571,0.6956521739130435,0.768,0.8350995993446506
ProtectiveStop,1d_cnn_19_raw,42,8,3,3,1.0,9,2,0.2222222222222222,0.9042483896649055,0.7083333333333334,1.0,0.8292682926829268,0.9967320261437909
ProtectiveStop,1d_cnn_19_raw,43,8,3,3,1.0,9,4,0.4444444444444444,0.8329545454545455,0.5483870967741935,1.0,0.7083333333333334,0.9938080495356038
ProtectiveStop,1d_cnn_19_raw,44,8,3,3,1.0,9,1,0.1111111111111111,0.8928571428571428,0.68,1.0,0.8095238095238095,0.9938080495356038
ProtectiveStop,1d_cnn_19_raw,42,9,17,15,0.8823529411764706,9,2,0.2222222222222222,0.8453458306399483,0.7758620689655172,0.7377049180327869,0.7563025210084033,0.8445308554218508
ProtectiveStop,1d_cnn_19_raw,43,9,17,15,0.8823529411764706,9,2,0.2222222222222222,0.8346800258564965,0.7586206896551724,0.7213114754098361,0.7394957983193278,0.809303864549563
ProtectiveStop,1d_cnn_19_raw,44,9,17,15,0.8823529411764706,9,2,0.2222222222222222,0.8475434456125295,0.782608695652174,0.7377049180327869,0.759493670886076,0.8321045244940435
ProtectiveStop,1d_cnn_19_raw,42,10,19,19,1.0,8,4,0.5,0.8416934107897303,0.6330275229357798,0.9583333333333334,0.7624309392265194,0.9215399329611621
ProtectiveStop,1d_cnn_19_raw,43,10,19,19,1.0,8,4,0.5,0.7560025448577277,0.49640287769784175,0.9583333333333334,0.6540284360189573,0.9094490177212363
ProtectiveStop,1d_cnn_19_raw,44,10,19,19,1.0,8,4,0.5,0.7318978115198175,0.46381578947368424,0.9791666666666666,0.6294642857142857,0.9090406730984608
GripLost,1d_cnn_19_raw,42,1,5,2,0.4,19,0,0.0,0.6269153979005646,1.0,0.2111111111111111,0.3486238532110092,0.8885888193963546
GripLost,1d_cnn_19_raw,43,1,5,3,0.6,19,0,0.0,0.7161712100653757,1.0,0.34444444444444444,0.512396694214876,0.8739869986930784
