target,window_size,feature_set,model,decision_threshold,test_block,train_blocks,train_cycle_runs,train_windows,eligible_test_cycle_runs,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,false_positive_windows_on_normal_cycles,false_positive_windows_per_normal_cycle,normal_window_false_positive_rate,detected_event_delay_steps_mean,detected_event_delay_steps_median,detected_event_delay_steps_max,window_false_positive_rate,window_test_windows,window_positive_count,window_positive_rate,window_accuracy,window_macro_f1,window_weighted_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_tn,window_fp,window_fn,window_tp,window_roc_auc,window_pr_auc
GripLost,10,all_sensors,rf_smote,0.5,2,8,179,3614,23,3,3,1.0,20,0,0.0,0,0.0,0.0,7.0,5.0,14.0,0.002638522427440633,421,42,0.0997624703087886,0.9524940617577197,0.8355982505467041,0.9465669502033582,0.9583333333333334,0.5476190476190477,0.696969696969697,378,1,19,23,0.9889747455710517,0.9188509963357087
GripLost,10,all_sensors,rf_smote,0.5,3,8,178,3609,24,5,5,1.0,19,1,0.05263157894736842,1,0.05263157894736842,0.0030581039755351682,2.4,0.0,9.0,0.010638297872340425,426,50,0.11737089201877934,0.9553990610328639,0.880807575065899,0.9529643241021913,0.8974358974358975,0.7,0.7865168539325843,372,4,15,35,0.9282978723404256,0.8420670013997958
GripLost,10,all_sensors,rf_smote,0.5,4,8,185,3696,17,7,7,1.0,10,1,0.1,1,0.1,0.004219409282700422,0.7142857142857143,0.0,3.0,0.02702702702702703,339,43,0.12684365781710916,0.9616519174041298,0.9159306384845768,0.9622005727511644,0.8260869565217391,0.8837209302325582,0.8539325842696629,288,8,5,38,0.9820474544311754,0.9075526637865436
GripLost,10,all_sensors,rf_smote,0.5,5,8,177,3565,25,1,1,1.0,24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,470,12,0.02553191489361702,0.9893617021276596,0.865706611806389,0.9879908031218805,1.0,0.5833333333333334,0.7368421052631579,458,0,5,7,0.987627365356623,0.876736111111111
GripLost,10,all_sensors,rf_smote,0.5,7,8,178,3560,24,4,4,1.0,20,0,0.0,0,0.0,0.0,3.25,1.5,10.0,0.0045045045045045045,475,31,0.06526315789473684,0.9705263157894737,0.8575895151618982,0.9678564150654176,0.9047619047619048,0.6129032258064516,0.7307692307692307,442,2,12,19,0.9614210985178727,0.8195317884822131
GripLost,10,all_sensors,rf_smote,0.5,8,8,190,3846,12,2,2,1.0,10,2,0.2,3,0.3,0.018867924528301886,0.0,0.0,0.0,0.01764705882352941,189,19,0.10052910052910052,0.9788359788359788,0.9440828402366864,0.9793024639178485,0.8571428571428571,0.9473684210526315,0.9,167,3,1,18,0.9964396284829722,0.9694805641554869
GripLost,10,all_sensors,rf_smote,0.5,9,8,176,3474,26,6,6,1.0,20,2,0.1,2,0.1,0.004608294930875576,1.6666666666666667,0.5,7.0,0.004158004158004158,561,80,0.14260249554367202,0.9126559714795008,0.7626268295842149,0.8975185020057613,0.9428571428571428,0.4125,0.5739130434782609,479,2,47,33,0.8235836798336799,0.661452707477453
GripLost,10,all_sensors,rf_smote,0.5,10,8,175,3310,27,6,4,0.6666666666666666,21,1,0.047619047619047616,2,0.09523809523809523,0.003875968992248062,5.5,2.0,18.0,0.003048780487804878,725,69,0.09517241379310344,0.9296551724137931,0.7010164228707275,0.9127056121164365,0.9090909090909091,0.2898550724637681,0.43956043956043955,654,2,49,20,0.7574341640155532,0.5514902343659366
GripLost,10,no_temperature,rf_smote,0.5,1,8,178,3606,24,5,5,1.0,19,1,0.05263157894736842,2,0.10526315789473684,0.006269592476489028,5.4,3.0,13.0,0.0058997050147492625,429,90,0.2097902097902098,0.8741258741258742,0.7552197802197802,0.8542419119342197,0.95,0.4222222222222222,0.5846153846153846,337,2,52,38,0.8834152736807604,0.8162586754603989
GripLost,10,no_temperature,rf_smote,0.5,2,8,179,3614,23,3,3,1.0,20,1,0.05,7,0.35,0.019337016574585635,3.0,2.0,5.0,0.021108179419525065,421,42,0.0997624703087886,0.9406175771971497,0.8170360712733593,0.9374030293552014,0.7575757575757576,0.5952380952380952,0.6666666666666666,371,8,17,25,0.9843573313230306,0.8750442535445206
